0 ;0.137
50;0.081
100;0.161
200;0.322
250;0.403
400;0.645
462;0.744
500;0.806
700;1.128
1000;1.612
1500;2.419
1750;2.821
2000;3.224
2500;4.03
3000;4.835










